fips,state,county,Number of Ethanol Plants,Production Capacity (mgy),Corn Grind by Ethanol Plants (mbu)
19013,IA,Black Hawk,8,1371.1,489.68
31121,NE,Merrick,10,1317.4,470.5
19069,IA,Franklin,11,1292.1,461.46
19023,IA,Butler,9,1181.1,421.82
19067,IA,Floyd,9,1181.1,421.82
19147,IA,Palo Alto,10,1169.4,417.64
19171,IA,Tama,8,1149.1,410.39
19019,IA,Buchanan,6,1147,409.64
19113,IA,Linn,6,1131.5,404.11
19187,IA,Webster,11,1128.6,403.07
19015,IA,Boone,11,1120.6,400.21
19109,IA,Kossuth,10,1099.4,392.64
19027,IA,Carroll,10,1095.6,391.29
19131,IA,Mitchell,9,1083,386.79
19033,IA,Cerro Gordo,10,1080.1,385.75
19197,IA,Wright,10,1069.1,381.82
19183,IA,Washington,6,1060.5,378.75
19081,IA,Hancock,10,1048,374.29
19079,IA,Hamilton,10,1010.7,360.96
19025,IA,Calhoun,10,1008.6,360.21
19031,IA,Cedar,5,999.5,356.96
19105,IA,Jones,5,999.5,356.96
19073,IA,Greene,10,990.6,353.79
19139,IA,Muscatine,5,989.5,353.39
31143,NE,Polk,7,985.5,351.96
27165,MN,Watonwan,9,976.4,348.71
17123,IL,Marshall,7,976,348.57
17143,IL,Peoria,7,976,348.57
17155,IL,Putnam,7,976,348.57
17175,IL,Stark,7,976,348.57
19161,IA,Sac,9,972,347.14
19037,IA,Chickasaw,7,957,341.79
19169,IA,Story,9,930.7,332.39
19083,IA,Hardin,9,927.1,331.11
31011,NE,Boone,7,925,330.36
19165,IA,Shelby,7,923,329.64
31185,NE,York,7,915.5,326.96
19141,IA,O'Brien,10,912.5,325.89
19011,IA,Benton,4,909,324.64
31001,NE,Adams,8,892.4,318.71
31093,NE,Howard,8,885.4,316.21
19063,IA,Emmet,8,879.4,314.07
17039,IL,De Witt,6,870,310.71
17011,IL,Bureau,5,869,310.36
17195,IL,Whiteside,5,868,310
31081,NE,Hamilton,8,865.4,309.07
19075,IA,Grundy,8,864.1,308.61
19189,IA,Winnebago,8,860.9,307.46
19103,IA,Johnson,4,859.5,306.96
19091,IA,Humboldt,8,858,306.43
31125,NE,Nance,6,857.5,306.25
17203,IL,Woodford,6,856,305.71
19095,IA,Iowa,4,848,302.86
19041,IA,Clay,8,847.5,302.68
31159,NE,Seward,6,845.5,301.96
19059,IA,Dickinson,8,837.4,299.07
17113,IL,McLean,6,831,296.79
31053,NE,Dodge,5,830,296.43
19035,IA,Cherokee,8,828,295.71
19151,IA,Pocahontas,8,828,295.71
19089,IA,Howard,6,825,294.64
31079,NE,Hall,8,824.4,294.43
19167,IA,Sioux,8,823,293.93
