Month,2019,2020,2021,2022,2023,2024,2025,2026
Jan,136177041.031816,145221759.85444,162429435.74458402,107688886.035748,117022266.131116,149421689.67876402,198209064.72141603,212180044.24382803
Feb,95757600.18744001,163499111.23262,94198034.896584,143431360.013296,107017799.865612,137361680.740016,138859580.09674,210132424.35303602
Mar,160676306.34588802,164219178.589964,143051077.55082402,113788409.87655601,118092844.030704,166988330.143496,195998658.34581602,0
Apr,143787179.88439602,91381115.233668,105225125.23937601,178352598.796036,119242036.61160001,187512049.63163602,172381830.01048002,0
May,97697923.186196,70713232.59420401,79560762.869148,141313190.34818402,112203135.895004,167837739.28210402,184800046.93520802,0
Jun,119616549.29342,81792808.365784,82674946.301816,103662307.72702801,111302526.78856,133952289.3241,173865999.027504,0
Jul,119926595.553736,73143385.692908,51954762.18777601,109426943.36515601,112305119.231432,128618441.87226401,164549118.586912,0
Aug,124835905.92131601,96292475.31179601,81052204.541332,79645889.654428,101467166.00210401,152700655.679872,188971291.11456802,0
Sep,95902862.822628,82117673.090268,77825403.792548,89465571.040168,121594722.06382,163818098.130104,148620749.762028,0
Oct,105829254.374392,126895195.610208,103414290.10900001,87016872.010376,116446677.34646401,163103390.294296,185214670.43682,0
Nov,101892374.61158401,106766215.925584,134386853.056616,80017276.653144,115083459.215468,190836908.3851,211508689.146596,0
Dec,145454251.555684,114574141.14708,121280087.135864,70543479.893756,155380648.65506002,196360098.212044,220471434.60510403,0
