Month,2019,2020,2021,2022,2023,2024,2025,2026
Jan,48772,45742,27430,15906,37514,29122,24470,17998
Feb,45918,43864,23224,16746,16868,19994,13602,21526
Mar,47766,47776,39396,25016,28052,25230,15040,0
Apr,47994,48992,39850,22832,19366,28174,14362,0
May,50626,37148,35268,26650,28718,24260,16326,0
Jun,48586,55688,37208,27896,23296,20622,26500,0
Jul,64896,55920,43426,29464,24950,22148,17000,0
Aug,62418,47740,32224,25964,26722,36140,15776,0
Sep,47724,46782,29868,26900,18512,12708,27816,0
Oct,48926,39400,24376,41710,29494,17234,18360,0
Nov,48416,40376,28426,37036,38238,24088,12336,0
Dec,42842,38380,31860,34386,22416,45764,15038,0
