Month,2019,2020,2021,2022,2023,2024,2025,2026
Jan,32035828.302072003,11505126.483800001,25055025.084232002,27376423.853976,5676947.441136001,29931650.771112002,28428181.347768,6729613.158264001
Feb,35260297.997128,76676541.16248001,5715672.942960001,15704073.852456002,3934549.7657680004,18649271.475992,18019545.659208,21332563.695288002
Mar,51603764.776536,46605567.135256,17624416.201992,6034590.891552,5816950.675976001,24702052.194776002,27012514.772064,0
Apr,45838531.053,21143741.474848002,12646291.934304,6679985.278000001,21035946.090248,21678768.498104002,21595216.706288002,0
May,19969354.810312003,22853376.538776003,7468913.822240001,39916789.156408004,18773802.685136,23258787.041888002,22702797.970432002,0
Jun,68055478.674664,59085794.738576,40703809.32212,16685433.206656002,22304349.984552,22210289.430576,5573623.431808,0
Jul,65065876.37964801,36952763.466088004,35934430.070424005,17771965.24584,25918021.645488,21804674.98668,21544177.090856,0
Aug,46355209.217480004,108068406.362,25440033.583784003,60180101.35972001,51385637.956136,32436493.219376,19646132.971496,0
Sep,135104670.196864,49539438.120120004,40477604.12196,6583639.636224001,33773967.5248,7679709.86964,18916677.469616,0
Oct,64283287.435064,78154856.127984,27510767.996232003,49325162.39913601,10856313.183328,7534861.72032,6135198.156032001,0
Nov,71775341.13947201,73770110.25160001,15996501.689576002,64950884.421424,12393451.856416,36183813.721864,5237268.017840001,0
Dec,44126940.05958401,61201250.828904,15059095.272736002,12185722.845936,32376220.792544004,8030560.401248001,5450976.297368,0
