State,Number of Plants,Production Capacity (mgy),Corn Grind Capacity (mbu)
Iowa,42,5038.7,1799.54
Nebraska,24,2403.9,858.54
Illinois,14,1924,687.14
South Dakota,16,1517,541.79
Indiana,15,1494.7,533.83
Minnesota,18,1456.5,520.18
Ohio,7,770,275
Wisconsin,9,681,243.21
Kansas,12,642.5,229.46
North Dakota,5,548.1,195.75
Texas,4,430.3,153.67
Michigan,4,346,123.57
Missouri,6,337.5,120.54
Tennessee,3,249,88.93
Colorado,3,166,59.29
California,3,128,45.71
Pennsylvania,1,128,45.71
New York,1,62,22.14
Idaho,1,60,21.43
Kentucky,2,54.5,19.46
Oregon,1,40,14.29
