year,Capacity,Capacity_forecast,Production,Production_forecast,Consumption,Consumption_forecast,ProductionBase,Headroom
2011,13614,,13929.1,,12893.3,,13929.1,0
2012,13728,,13181.9,,12846.7,,13181.9,546.1000000000004
2013,13852,,13292.7,,13215.6,,13292.7,559.2999999999993
2014,13681,,14312.8,,13444,,14312.8,0
2015,14369,,14807.2,,13946.7,,14807.2,0
2016,14903,,15371.1,,14317.1,,15371.1,0
2017,15584,,15936.3,,14485.1,,15936.3,0
2018,16542,,16091.3,,14420.4,,16091.3,450.7000000000007
2019,16908,,15778.5,,14551.7,,15778.5,1129.5
2020,17378,,13902.9,,12646.2,,13902.9,3475.1000000000004
2021,17546,,15015.7,,13944.4,,15015.7,2530.2999999999993
2022,17380,,15360.7,,14023.4,,15360.7,2019.2999999999993
2023,17663,,15580.2,,14230,,15580.2,2082.7999999999993
2024,18010,,16181,,14206.4,,16181,1829
2025,18477,18477,16494.4,16494.4,14345.6,14345.6,16494.4,1982.5999999999985
2026,,18477,,16806.7,,14352.5,16806.7,1670.2999999999993
2027,,18477,,16899.4,,14341.2,16899.4,1577.5999999999985
