Date,Popup Date,MBBL,MMgal,13-Wk Avg
2010-06-04,2010-06-04,18309,768.978,
2010-06-11,2010-06-11,18551,779.142,
2010-06-18,2010-06-18,19368,813.456,
2010-06-25,2010-06-25,19499,818.958,
2010-07-02,2010-07-02,19921,836.682,
2010-07-09,2010-07-09,19674,826.308,
2010-07-16,2010-07-16,19877,834.834,
2010-07-23,2010-07-23,19523,819.966,
2010-07-30,2010-07-30,19541,820.722,
2010-08-06,2010-08-06,19343,812.406,
2010-08-13,2010-08-13,19205,806.61,
2010-08-20,2010-08-20,17858,750.036,
2010-08-27,2010-08-27,17562,737.604,801.9770769230769
2010-09-03,2010-09-03,17735,744.87,800.1226153846153
2010-09-10,2010-09-10,17868,750.456,797.9159999999999
2010-09-17,2010-09-17,17506,735.252,791.9003076923077
2010-09-24,2010-09-24,17164,720.888,784.3564615384615
2010-10-01,2010-10-01,16898,709.716,774.5898461538461
2010-10-08,2010-10-08,16365,687.33,763.8992307692308
2010-10-15,2010-10-15,16034,673.428,751.4833846153846
2010-10-22,2010-10-22,16310,685.02,741.102923076923
2010-10-29,2010-10-29,16349,686.658,730.7903076923077
2010-11-05,2010-11-05,16061,674.562,720.1869230769231
2010-11-12,2010-11-12,16718,702.156,712.152
2010-11-19,2010-11-19,16802,705.684,708.7403076923076
2010-11-26,2010-11-26,17110,718.62,707.28
2010-12-03,2010-12-03,16384,688.128,702.9152307692307
2010-12-10,2010-12-10,16717,702.114,699.1966153846153
2010-12-17,2010-12-17,16774,704.508,696.8316923076922
2010-12-24,2010-12-24,16841,707.322,695.7881538461536
2010-12-31,2010-12-31,16858,708.036,695.6589230769229
2011-01-07,2011-01-07,17096,718.032,698.0206153846151
2011-01-14,2011-01-14,17801,747.642,703.7293846153843
2011-01-21,2011-01-21,19037,799.554,712.539692307692
2011-01-28,2011-01-28,18890,793.38,720.7490769230766
2011-02-04,2011-02-04,19576,822.192,732.1052307692304
2011-02-11,2011-02-11,19576,822.192,741.3387692307689
2011-02-18,2011-02-18,19349,812.658,749.5675384615381
2011-02-25,2011-02-25,19127,803.334,756.0839999999996
2011-03-04,2011-03-04,19873,834.666,767.3561538461535
2011-03-11,2011-03-11,19905,836.01,777.6558461538459
