Date,Popup Date,kb/d,MMgal/Week,13-Wk Avg
2010-06-04,2010-06-04,753,221.382,
2010-06-11,2010-06-11,758,222.85199999999998,
2010-06-18,2010-06-18,779,229.026,
2010-06-25,2010-06-25,783,230.20200000000003,
2010-07-02,2010-07-02,809,237.846,
2010-07-09,2010-07-09,779,229.026,
2010-07-16,2010-07-16,777,228.438,
2010-07-23,2010-07-23,799,234.906,
2010-07-30,2010-07-30,796,234.024,
2010-08-06,2010-08-06,790,232.26,
2010-08-13,2010-08-13,794,233.43599999999998,
2010-08-20,2010-08-20,810,238.14000000000001,
2010-08-27,2010-08-27,799,234.906,231.26492307692303
2010-09-03,2010-09-03,793,233.142,232.16953846153845
2010-09-10,2010-09-10,779,229.026,232.6444615384615
2010-09-17,2010-09-17,768,225.792,232.3956923076923
2010-09-24,2010-09-24,802,235.78799999999998,232.8253846153846
2010-10-01,2010-10-01,793,233.142,232.4635384615384
2010-10-08,2010-10-08,815,239.60999999999999,233.27769230769223
2010-10-15,2010-10-15,811,238.43399999999997,234.04661538461534
2010-10-22,2010-10-22,817,240.198,234.45369230769225
2010-10-29,2010-10-29,803,236.082,234.61199999999994
2010-11-05,2010-11-05,809,237.846,235.04169230769227
2010-11-12,2010-11-12,800,235.20000000000002,235.1773846153846
2010-11-19,2010-11-19,801,235.49400000000003,234.9738461538461
2010-11-26,2010-11-26,755,221.97,233.97876923076916
2010-12-03,2010-12-03,807,237.25799999999998,234.29538461538456
2010-12-10,2010-12-10,814,239.31600000000003,235.08692307692303
2010-12-17,2010-12-17,846,248.724,236.850923076923
2010-12-24,2010-12-24,825,242.54999999999998,237.37107692307686
2010-12-31,2010-12-31,736,216.384,236.08199999999994
2011-01-07,2011-01-07,734,215.796,234.2501538461538
2011-01-14,2011-01-14,754,221.676,232.9610769230769
2011-01-21,2011-01-21,762,224.028,231.71723076923075
2011-01-28,2011-01-28,769,226.086,230.94830769230765
2011-02-04,2011-02-04,752,221.088,229.65923076923076
2011-02-11,2011-02-11,774,227.556,229.07123076923074
2011-02-18,2011-02-18,823,241.96200000000002,229.5687692307692
2011-02-25,2011-02-25,822,241.668,231.08399999999995
2011-03-04,2011-03-04,795,233.73000000000002,230.81261538461533
2011-03-11,2011-03-11,793,233.142,230.33769230769227
2011-03-18,2011-03-18,804,236.376,229.3878461538461
2011-03-25,2011-03-25,809,237.846,229.02599999999995
2011-04-01,2011-04-01,786,231.084,230.15676923076916
2011-04-08,2011-04-08,789,231.96599999999998,231.40061538461532
2011-04-15,2011-04-15,798,234.612,232.39569230769226
2011-04-22,2011-04-22,779,229.026,232.7801538461538
2011-04-29,2011-04-29,800,235.20000000000002,233.48123076923073
2011-05-06,2011-05-06,787,231.37800000000001,234.27276923076917
2011-05-13,2011-05-13,812,238.728,235.1321538461538
2011-05-20,2011-05-20,806,236.96399999999997,234.74769230769226
2011-05-27,2011-05-27,822,241.668,234.74769230769226
2011-06-03,2011-06-03,787,231.37800000000001,234.56676923076918
2011-06-10,2011-06-10,829,243.726,235.380923076923
2011-06-17,2011-06-17,823,241.96200000000002,235.81061538461535
2011-06-24,2011-06-24,829,243.726,236.26292307692304
2011-07-01,2011-07-01,835,245.49,237.37107692307688
2011-07-08,2011-07-08,805,236.67000000000002,237.73292307692307
2011-07-15,2011-07-15,822,241.668,238.27569230769228
2011-07-22,2011-07-22,827,243.138,239.36123076923076
2011-07-29,2011-07-29,831,244.31400000000002,240.06230769230768
2011-08-05,2011-08-05,847,249.01799999999997,241.41923076923075
2011-08-12,2011-08-12,845,248.43,242.16553846153846
2011-08-19,2011-08-19,823,241.96200000000002,242.55
2011-08-26,2011-08-26,838,246.37199999999999,242.91184615384617
2011-09-02,2011-09-02,810,238.14000000000001,243.43200000000004
2011-09-09,2011-09-09,800,235.20000000000002,242.7761538461539
2011-09-16,2011-09-16,817,240.198,242.64046153846158
2011-09-23,2011-09-23,810,238.14000000000001,242.21076923076927
2011-09-30,2011-09-30,818,240.49200000000002,241.82630769230775
2011-10-07,2011-10-07,818,240.49200000000002,242.12030769230776
2011-10-14,2011-10-14,812,238.728,241.8941538461539
2011-10-21,2011-10-21,819,240.78600000000003,241.71323076923085
2011-10-28,2011-10-28,832,244.608,241.7358461538462
2011-11-04,2011-11-04,804,236.376,240.7633846153847
2011-11-11,2011-11-11,821,241.374,240.22061538461546
2011-11-18,2011-11-18,815,239.60999999999999,240.03969230769238
2011-11-25,2011-11-25,793,233.142,239.02200000000008
2011-12-02,2011-12-02,808,237.552,238.9767692307693
2011-12-09,2011-12-09,821,241.374,239.45169230769235
2011-12-16,2011-12-16,835,245.49,239.85876923076927
2011-12-23,2011-12-23,836,245.78400000000002,240.4467692307693
2011-12-30,2011-12-30,757,222.558,239.06723076923083
2012-01-06,2012-01-06,745,219.03,237.41630769230775
2012-01-13,2012-01-13,769,226.086,236.4438461538462
2012-01-20,2012-01-20,774,227.556,235.4261538461539
2012-01-27,2012-01-27,771,226.67399999999998,234.04661538461545
2012-02-03,2012-02-03,782,229.90800000000002,233.549076923077
2012-02-10,2012-02-10,797,234.31799999999998,233.00630769230776
2012-02-17,2012-02-17,813,239.022,232.96107692307697
2012-02-24,2012-02-24,823,241.96200000000002,233.6395384615385
2012-03-02,2012-03-02,800,235.20000000000002,233.45861538461546
