Plant,City,State,Production Capacity (mgy),% of State Capacity
Aemetis Advanced Fuels Keys Inc,Ceres,California,70,54.7
Calgren Renewable Fuels LLC,Pixley,California,55,43
Parallel Products,Rancho Cucamonga,California,3,2.3
Sterling Ethanol LLC,Sterling,Colorado,60,36.1
Yuma Ethanol LLC,Yuma,Colorado,60,36.1
Front Range Energy LLC,Windsor,Colorado,46,27.7
Alto Magic Valley Ethanol,Burley,Idaho,60,100
Marquis Energy LLC,Hennepin,Illinois,400,20.8
ADM,Decatur,Illinois,375,19.5
One Earth Energy LLC,Gibson City,Illinois,150,7.8
Big River Resources Galva LLC,Galva,Illinois,140,7.3
Illinois River Energy LLC,Rochelle,Illinois,138,7.2
Patriot Renewable Fuels LLC,Annawan,Illinois,130,6.8
Alto Pekin LLC Wet Mill,Pekin,Illinois,100,5.2
Green Plains Madison LLC,Madison,Illinois,100,5.2
Alto ICP LLC,Pekin,Illinois,82,4.3
Lincolnland Agri-Energy LLC,Palestine,Illinois,68,3.5
Alto Pekin LLC Dry Mill,Pekin,Illinois,63,3.3
Biourja Renewables LLC,Peoria,Illinois,61,3.2
Adkins Energy LLC,Lena,Illinois,60,3.1
Crysalis Biosciences Inc.,Sauget,Illinois,57,3
The Andersons Marathon Holdings LLC,Logansport,Indiana,140,9.4
Valero Renewable Fuels LLC,Linden,Indiana,140,9.4
Valero Renewable Fuels LLC,Bluffton,Indiana,140,9.4
Cardinal Ethanol LLC,Union City,Indiana,136,9.1
Green Plains Mount Vernon LLC,Mount Vernon,Indiana,135,9
South Bend Ethanol LLC,South Bend,Indiana,100,6.7
Valero Renewable Fuels LLC,Mt Vernon,Indiana,100,6.7
Poet Biorefining-Shelbyville,Shelbyville,Indiana,94,6.3
Poet Biorefining-Alexandria LLC,Alexandria,Indiana,90,6
Poet Biorefining-North Manchester,North Manchester,Indiana,90,6
Poet Biorefining-Portland LLC,Portland,Indiana,90,6
Poet Biorefining-Cloverdale,Cloverdale,Indiana,88,5.9
Iroquois Bio-Energy Co LLC,Rensselaer,Indiana,65,4.3
Central Indiana Ethanol,Marion,Indiana,50,3.3
Grain Processing Corp,Washington,Indiana,36.72,2.5
VCP Corn Processing,Cedar Rapids,Iowa,300,6
ADM Cedar Rapids IA Wet Mill,Cedar Rapids,Iowa,240,4.8
ADM Clinton IA,Clinton,Iowa,237,4.7
Homeland Energy Solutions LLC,Lawler,Iowa,207,4.1
Elite Octane LLC,Atlantic,Iowa,175,3.5
Little Sioux Corn Processors LLLP,Marcus,Iowa,165,3.3
Valero Renewable Fuels LLC,Charles City,Iowa,165,3.3
Valero Renewable Fuels LLC,Ft Dodge,Iowa,150,3
Valero Renewable Fuels LLC,Hartley,Iowa,150,3
Southwest Iowa Renewable,Council Bluffs,Iowa,147,2.9
Big River United Energy LLC,Dyersville,Iowa,140,2.8
Golden Grain Energy LLC,Mason City,Iowa,140,2.8
Valero Renewable Fuels LLC,Albert City,Iowa,140,2.8
Poet Biorefining-Arthur LLC,Arthur,Iowa,132,2.6
Poet Biorefining-Fairbank,Fairbank,Iowa,132,2.6
Poet Biorefining-Menlo,Menlo,Iowa,132,2.6
Absolute Energy,St Ansgar,Iowa,130,2.6
Big River Resources West Burlington LLC,West Burlington,Iowa,130,2.6
Cargill Inc.,Ft Dodge,Iowa,130,2.6
Poet Biorefining-Shell Rock LLC,Shell Rock,Iowa,128,2.5
Louis Dreyfus Co.,Grand Junction,Iowa,121.6,2.4
Poet Biorefining-Iowa Falls LLC,Iowa Falls,Iowa,112,2.2
Valero Renewable Fuels LLC,Lakota,Iowa,110,2.2
Green Plains Shenandoah LLC,Shenandoah,Iowa,100,2
Lincolnway Energy LLC,Nevada,Iowa,90,1.8
Poet Biorefining-Corning LLC,Corning,Iowa,90,1.8
Poet Biorefining-Gowrie LLC,Gowrie,Iowa,90,1.8
Poet Biorefining-Jewell LLC,Jewell,Iowa,90,1.8
Pine Lake Corn Processors,Steamboat,Iowa,87.12,1.7
Grain Processing Corp,Muscatine,Iowa,82.5,1.6
Corn LP,Goldfield,Iowa,80,1.6
Poet Biorefining-Hanlontown LLC,Hanlontown,Iowa,80,1.6
Cargill Inc.,Eddyville,Iowa,71,1.4
Plymouth Energy LLC,Merrill,Iowa,70,1.4
Green Plains Superior,Superior,Iowa,68.5,1.4
Poet Biorefinning-Ashton LLC,Ashton,Iowa,68,1.3
Poet Biorefining-Emmetsburg LLC,Emmetsburg,Iowa,68,1.3
Poet Biorefining-Coon Rapids,Coon Rapids,Iowa,65,1.3
Siouxland Energy Cooperative,Sioux Center,Iowa,65,1.3
The Andersons Marathon Holdings LLC,Denison,Iowa,62,1.2
Verbio North America LLC,Nevada,Iowa,60,1.2
Quad County Corn Processors Coop,Galva,Iowa,38,0.8
