name,lat,lng,address,state,type,website
Pinal Energy LLC,33.011687,-111.981691,"38585 Cowtown Rd, Maricopa, AZ 85138, USA",AZ,Non-Member Facility,http://www.pinalenergyllc.com/
Aemetis Keyes,37.55142685377392,-120.91640086351248,"4209 Jessup Rd, Ceres, CA 95307, USA",CA,Non-Member Facility,https://www.aemetis.com/
Calgren Renewable Fuels LLC,36.00207341332268,-119.3029069453532,"11704 Rd 120, Pixley, CA 93256, USA",CA,Non-Member Facility,https://calgren.com/
Parallel Products of California,34.09852377313965,-117.5373413607637,"12281 Arrow Route, Rancho Cucamonga, CA 91739, USA",CA,Non-Member Facility,https://www.parallelproducts.com/ontario-ca
Pelican Renewables LLC,37.94138207270557,-121.34058588890568,"3028 Navy Drive, Stockton, CA 95206, USA",CA,Non-Member Facility,https://pelicanrenewables.com/
Seaboard Energy California LLC,36.92285439509765,-119.97428433182536,"31470 Ave 12, Madera, CA 93638, USA",CA,Non-Member Facility,https://seaboardenergy.com/operations/
Front Range Energy LLC,40.47748,-104.90136,"31375 Great Western Drive, Windsor, CO 80550, USA",CO,Producer Plant,https://www.frontrangeenergy.com/
Merrick &#038; Company,39.7687608,-105.1808225,"1005 Vasquez St, Golden, CO 80401, USA",CO,Non-Member Facility,https://www.merrick.com/project/millercoors-ethanol-recovery-facility-biomass-conversion-ethanol/
Sterling Ethanol LLC,40.62554,-103.20771,"450 Angus Ave, Sterling, CO 80751, USA",CO,Producer Plant,http://www.bridgeportethanol.com/index.cfm?show=10&mid=31
Yuma Ethanol LLC,40.12222,-102.68127,"38480 County Rd H, Yuma, CO 80759, USA",CO,Producer Plant,http://www.bridgeportethanol.com/index.cfm?show=10&mid=28
LanzaJet Freedom Pines Fuels LLC (Under Construction),32.40410424807951,-82.62079054160161,"535 Commerce Dr, Soperton, GA 30457, USA",GA,Non-Member Facility,https://www.lanzajet.com/freedom-pines
Renmatix &#8211; Kennesaw,34.01083435155886,-84.59738594421476,"1640 Airport Rd #108, Kennesaw, GA 30144, USA",GA,Non-Member Facility,https://renmatix.com/contact/#locations
ADM &#8211; Cedar Rapids Dry Mill,41.9285216,-91.6909308,"1425 60th Ave SW, Cedar Rapids, IA 52404, USA",IA,Producer Plant,https://www.adm.com/en-us/products-services/industrial-biosolutions/products/ethanol/
ADM &#8211; Cedar Rapids Wet Mill,41.975887,-91.670405,"1350 Waconia Ave SW, Cedar Rapids, IA 52404, USA",IA,Producer Plant,https://www.adm.com/en-us/products-services/industrial-biosolutions/products/ethanol/
ADM &#8211; Clinton,41.8204268,-90.2123884,"1251 Beaver Channel Pkwy, Clinton, IA 52732, USA",IA,Producer Plant,https://www.adm.com/en-us/products-services/industrial-biosolutions/products/ethanol/
Absolute Energy LLC,43.37881,-92.91958,"1372 State Line St, St Ansgar, IA 50472, USA",IA,Producer Plant,https://absenergy.org/
Big River Resources West Burlington LLC,40.82504,-91.15654,"15210 103rd St, West Burlington, IA 52655, USA",IA,Producer Plant,https://www.bigriverresources.com/cbloc-2164
Big River United Energy LLC,42.48736,-91.16287,"3294 Vine Rd, Dyersville, IA 52040, USA",IA,Producer Plant,https://www.bigriverresources.com/cbloc-2162
Cargill &#8211; Eddyville,41.139445,-92.645392,"17540 Monroe Wapello Rd, Eddyville, IA 52553, USA",IA,Producer Plant,https://www.cargill.com/bioindustrial/starches-and-derivatives/starch-derivatives/industrial-ethanol
Cargill &#8211; Fort Dodge,42.50699428653332,-94.31355004161536,"1950 Harvest Avenue, Fort Dodge, IA 50501, USA",IA,Producer Plant,https://www.cargill.com/bioindustrial/starches-and-derivatives/starch-derivatives/industrial-ethanol
Corn LP,42.73345,-93.91176,"1303 IA-3, Goldfield, IA 50542, USA",IA,Producer Plant,http://www.cornlp.com/
Elite Octane LLC,41.423412881460074,-95.02993245945068,"60502 Glacier Road, Atlantic, IA 50022, USA",IA,Producer Plant,https://www.eliteoctane.net/
Golden Grain Energy LLC,43.11690733389292,-93.23037679823844,"1822 43rd Street Southwest, Mason City, IA 50401, USA",IA,Producer Plant,https://ggecorn.com/
Grain Processing Corporation &#8211; Muscatine,41.4003364,-91.0654351,"1600 Oregon St, Muscatine, IA 52761, USA",IA,Non-Member Facility,https://www.grainprocessing.com/
Green Plains &#8211; Shenandoah,40.75877,-95.3756,"4124 Airport Road, Shenandoah, IA 51601, USA",IA,Non-Member Facility,https://gpreinc.com/location/shenandoah/
Green Plains &#8211; Superior,43.43267,-94.94708,"1495 320th Avenue, Superior, IA 51363, USA",IA,Non-Member Facility,https://gpreinc.com/location/superior/
Homeland Energy Solutions LLC,43.0723253,-92.20767,"2779 Iowa 24, Lawler, IA 52154, USA",IA,Non-Member Facility,https://www.homelandenergysolutions.com/
Lincolnway Energy LLC,42.02663049445803,-93.51071812060674,"59511 W Lincoln Hwy, Nevada, IA 50201, USA",IA,Producer Plant,https://lincolnwayenergy.com/
"Little Sioux Corn Processors, LP",42.8215989,-95.7664747,"4808 F Ave, Marcus, IA 51035, USA",IA,Non-Member Facility,https://www.littlesiouxcornprocessors.com/
Louis Dreyfus Company,42.053641,-94.236229,"1149 U Ave, Grand Junction, IA 50107, USA",IA,Non-Member Facility,https://www.ldc.com/us/en/our-facilities/grand-junction-ia/
New Energy Freedom Biomass Refinery (Under Construction),43.11222920335998,-93.24101853050269,"14000 240th Street, Mason City, IA 50401, USA",IA,Non-Member Facility,https://newenergyblue.com/
POET Bioprocessing &#8211; Arthur,42.3310675,-95.3572725,"2585 Quail Ave, Arthur, IA 51431, USA",IA,Producer Plant,https://poet.com/arthur
POET Bioprocessing &#8211; Ashton,43.31136,-95.79113,"4970 260th St, Ashton, IA 51232, USA",IA,Producer Plant,https://poet.com/ashton
POET Bioprocessing &#8211; Coon Rapids,41.87246,-94.67679,"1015 Grant Ave, Coon Rapids, IA 50058, USA",IA,Producer Plant,https://poet.com/coonrapids
POET Bioprocessing &#8211; Corning,40.99134,-94.73703,"1680 Brooks Road, Corning, IA 50841, USA",IA,Producer Plant,https://poet.com/corning
POET Bioprocessing &#8211; Emmetsburg,43.11274,-94.68304,"4724 380th St, Emmetsburg, IA 50536, USA",IA,Producer Plant,https://poet.com/emmetsburg
POET Bioprocessing &#8211; Fairbank,42.6409983,-92.0316215,"1277 102nd St, Fairbank, IA 50629, USA",IA,Producer Plant,https://poet.com/fairbank
POET Bioprocessing &#8211; Gowrie,42.27775,-94.29191,"1562 320th St, Gowrie, IA 50543, USA",IA,Producer Plant,https://poet.com/gowrie
POET Bioprocessing &#8211; Hanlontown,43.28093,-93.37916,"3638 Fir Avenue, Hanlontown, IA 50444, USA",IA,Producer Plant,https://poet.com/hanlontown
