period,Actual,Forecast
2000-01,135,
2000-02,127,
2000-03,135,
2000-04,139,
2000-05,139,
2000-06,123,
2000-07,139,
2000-08,123,
2000-09,130,
2000-10,145,
2000-11,138,
2000-12,150,
2001-01,150,
2001-02,136,
2001-03,147,
2001-04,135,
2001-05,140,
2001-06,139,
2001-07,146,
2001-08,147,
2001-09,146,
2001-10,158,
2001-11,159,
2001-12,161,
2002-01,176,
2002-02,143,
2002-03,167,
2002-04,159,
2002-05,168,
2002-06,156,
2002-07,167,
2002-08,177,
2002-09,183,
2002-10,207,
2002-11,209,
2002-12,229,
2003-01,230,
2003-02,199,
2003-03,228,
2003-04,226,
2003-05,228,
2003-06,228,
2003-07,232,
2003-08,234,
2003-09,239,
2003-10,245,
2003-11,244,
2003-12,270,
2004-01,275,
2004-02,258,
2004-03,279,
2004-04,275,
2004-05,288,
2004-06,280,
2004-07,284,
2004-08,293,
2004-09,285,
2004-10,294,
2004-11,292,
2004-12,303,
2005-01,313,
2005-02,288,
2005-03,316,
2005-04,300,
2005-05,309,
2005-06,313,
2005-07,336,
2005-08,338,
2005-09,329,
2005-10,350,
2005-11,347,
2005-12,364,
2006-01,375,
2006-02,355,
2006-03,392,
2006-04,364,
2006-05,382,
2006-06,400,
2006-07,411,
2006-08,430,
2006-09,424,
2006-10,442,
2006-11,439,
2006-12,471,
2007-01,488,
2007-02,453,
2007-03,499,
2007-04,492,
2007-05,528,
2007-06,527,
2007-07,549,
2007-08,570,
2007-09,563,
2007-10,597,
2007-11,612,
2007-12,641,
2008-01,674,
2008-02,652,
2008-03,736,
2008-04,720,
2008-05,788,
2008-06,741,
2008-07,800,
2008-08,842,
2008-09,812,
2008-10,842,
2008-11,846,
2008-12,854,
2009-01,822,
2009-02,767,
2009-03,845,
2009-04,814,
2009-05,883,
2009-06,887,
2009-07,961,
2009-08,972,
2009-09,933,
2009-10,986,
2009-11,1013,
2009-12,1056,
2010-01,1076,
2010-02,1000,
2010-03,1112,
2010-04,1066,
2010-05,1102,
2010-06,1077,
2010-07,1117,
