Date,Popup Date,kb/d,MMgal/Week,13-Wk Avg
2010-06-04,2010-06-04,839,246.666,
2010-06-11,2010-06-11,839,246.666,
2010-06-18,2010-06-18,846,248.724,
2010-06-25,2010-06-25,832,244.608,
2010-07-02,2010-07-02,855,251.36999999999998,
2010-07-09,2010-07-09,821,241.374,
2010-07-16,2010-07-16,836,245.78400000000002,
2010-07-23,2010-07-23,816,239.904,
2010-07-30,2010-07-30,873,256.662,
2010-08-06,2010-08-06,866,254.60399999999998,
2010-08-13,2010-08-13,860,252.83999999999997,
2010-08-20,2010-08-20,835,245.49,
2010-08-27,2010-08-27,856,251.664,248.18123076923075
2010-09-03,2010-09-03,875,257.25,248.99538461538458
2010-09-10,2010-09-10,872,256.368,249.7416923076923
2010-09-17,2010-09-17,850,249.90000000000003,249.83215384615383
2010-09-24,2010-09-24,825,242.54999999999998,249.67384615384614
2010-10-01,2010-10-01,863,253.722,249.8547692307692
2010-10-08,2010-10-08,877,257.838,251.12123076923075
2010-10-15,2010-10-15,881,259.014,252.13892307692305
2010-10-22,2010-10-22,880,258.72,253.58630769230766
2010-10-29,2010-10-29,865,254.31,253.40538461538458
2010-11-05,2010-11-05,877,257.838,253.6541538461538
2010-11-12,2010-11-12,895,263.13,254.44569230769227
2010-11-19,2010-11-19,891,261.95399999999995,255.7121538461538
2010-11-26,2010-11-26,885,260.19,256.36799999999994
2010-12-03,2010-12-03,939,276.06600000000003,257.8153846153846
2010-12-10,2010-12-10,937,275.478,259.2853846153846
2010-12-17,2010-12-17,892,262.248,260.2352307692307
2010-12-24,2010-12-24,913,268.42199999999997,262.22538461538454
2010-12-31,2010-12-31,904,265.776,263.15261538461533
2011-01-07,2011-01-07,888,261.072,263.4013846153846
2011-01-14,2011-01-14,913,268.42199999999997,264.12507692307685
2011-01-21,2011-01-21,922,271.068,265.074923076923
2011-01-28,2011-01-28,908,266.952,266.04738461538454
2011-02-04,2011-02-04,900,264.59999999999997,266.5675384615384
2011-02-11,2011-02-11,893,262.54200000000003,266.5223076923076
2011-02-18,2011-02-18,888,261.072,266.4544615384615
2011-02-25,2011-02-25,882,259.308,266.3866153846153
2011-03-04,2011-03-04,883,259.602,265.12015384615376
2011-03-11,2011-03-11,895,263.13,264.17030769230763
2011-03-18,2011-03-18,913,268.42199999999997,264.6452307692307
2011-03-25,2011-03-25,903,265.482,264.41907692307683
2011-04-01,2011-04-01,902,265.188,264.37384615384605
2011-04-08,2011-04-08,898,264.012,264.5999999999999
2011-04-15,2011-04-15,856,251.664,263.310923076923
2011-04-22,2011-04-22,883,259.602,262.428923076923
2011-04-29,2011-04-29,875,257.25,261.6826153846153
2011-05-06,2011-05-06,862,253.428,260.8232307692307
2011-05-13,2011-05-13,900,264.59999999999997,260.9815384615384
2011-05-20,2011-05-20,902,265.188,261.29815384615375
2011-05-27,2011-05-27,909,267.246,261.90876923076917
2011-06-03,2011-06-03,915,269.01,262.6324615384614
2011-06-10,2011-06-10,880,258.72,262.2932307692307
2011-06-17,2011-06-17,901,264.894,262.02184615384607
2011-06-24,2011-06-24,893,262.54200000000003,261.79569230769226
2011-07-01,2011-07-01,904,265.776,261.84092307692305
2011-07-08,2011-07-08,872,256.368,261.252923076923
2011-07-15,2011-07-15,873,256.662,261.6373846153846
2011-07-22,2011-07-22,874,256.956,261.4338461538461
2011-07-29,2011-07-29,878,258.132,261.5016923076923
2011-08-05,2011-08-05,908,266.952,262.542
2011-08-12,2011-08-12,899,264.30600000000004,262.5193846153846
2011-08-19,2011-08-19,904,265.776,262.56461538461537
2011-08-26,2011-08-26,888,261.072,262.0896923076923
2011-09-02,2011-09-02,896,263.424,261.65999999999997
2011-09-09,2011-09-09,879,258.426,261.63738461538463
2011-09-16,2011-09-16,871,256.074,260.95892307692304
2011-09-23,2011-09-23,841,247.25400000000002,259.78292307692305
2011-09-30,2011-09-30,863,253.722,258.85569230769227
2011-10-07,2011-10-07,860,252.83999999999997,258.5843076923077
2011-10-14,2011-10-14,908,266.952,259.3758461538461
2011-10-21,2011-10-21,909,267.246,260.16738461538455
2011-10-28,2011-10-28,916,269.30400000000003,261.0267692307692
2011-11-04,2011-11-04,911,267.834,261.09461538461534
2011-11-11,2011-11-11,916,269.30400000000003,261.4790769230769
2011-11-18,2011-11-18,917,269.598,261.77307692307693
2011-11-25,2011-11-25,930,273.42,262.72292307692305
2011-12-02,2011-12-02,954,280.476,264.0346153846154
2011-12-09,2011-12-09,938,275.772,265.36892307692307
2011-12-16,2011-12-16,943,277.242,266.9972307692308
2011-12-23,2011-12-23,962,282.82800000000003,269.7336923076923
2011-12-30,2011-12-30,963,283.12199999999996,271.9952307692308
2012-01-06,2012-01-06,944,277.536,273.8949230769231
2012-01-13,2012-01-13,941,276.654,274.6412307692308
2012-01-20,2012-01-20,934,274.596,275.2066153846154
2012-01-27,2012-01-27,939,276.06600000000003,275.72676923076926
2012-02-03,2012-02-03,923,271.36199999999997,275.99815384615385
