lat,lng,chain,address,city,state,zip
42.305199,-72.64937599999999,Racing Mart,54 Easthampton Rd,Northampton,MA,1060
42.155976,-71.96419200000001,Gulf Oil,"Mile Marker 83, Massachusetts Turnpike",Charlton,MA,1507
42.244735000000006,-71.59215,Gulf Oil,Mi 104.4 Massachusetts Turnpike,Westborough,MA,1748
42.161663,-71.110055,Gulf Oil,683 Turnpike St,Canton,MA,2021
42.36964,-71.02382300000001,Gulf Oil,100 Service Rd,East Boston,MA,2128
42.371849999999995,-71.06315400000001,Shell,1 Rutherford Ave,Charlestown,MA,2129
42.356638,-71.11410900000001,Shell,207 Magazine St,Cambridge,MA,2139
42.394000999999996,-71.046402,Burke Oil,410 Beacham St,Chelsea,MA,2150
41.804576,-71.33029300000001,Crossroads,822 Fall River Ave,Seekonk,MA,2771
41.76092500000001,-72.680804,Connecticut DOT Fleet Services,309 Buckingham St,Hartford,CT,6106
41.673283,-72.71462300000003,Connecticut DOT Fleet Services,2800 Berlin Turnpike,Newington,CT,6111
41.512499,-72.11925400000001,Connecticut DOT Fleet Services,171 Salem Turnpike,Norwich,CT,6360
41.38742799999999,-72.15885499999999,Shell,969 Route 85,Waterford,CT,6385
41.417998999999995,-73.434738,Connecticut DOT Fleet Services,Stadley Rough Rd & Rockwell Rd,Danbury,CT,6811
41.0336,-73.624668,Shell,83 E Putnam Ave,Greenwich,CT,6830
40.754951,-74.22863,Power Gas,205 Sanford St,East Orange,NJ,7018
40.691886999999994,-74.184806,Gulf Oil,100 Lindbergh Rd,Newark,NJ,7114
39.810165,-74.736783,Mighty Joe's Gas Grill & Deli,1231 Route 206,Shamong,NJ,8088
41.238434000000005,-73.701352,Haines Road Service Station,9 Haines Rd,Bedford Hills,NY,10507
41.19422,-73.880766,BP,67 Croton Point Ave,Croton on Hudson,NY,10520
41.039073,-73.865361,Shell,1 N Broadway,Irvington,NY,10533
40.977337,-73.69577799999998,Public Banahan Brothers,310 Theodore Fremd Ave,Rye,NY,10580
40.94633,-73.88204499999999,BP,594 Nepperhan Ave,Yonkers,NY,10701
40.90441,-73.787705,Conoco,690 Main St,New Rochelle,NY,10801
40.896463999999995,-73.77846699999999,Shell,408 Pelham Rd,New Rochelle,NY,10805
41.146985,-73.93396000000001,BP,102 Lake Rd,Congers,NY,10920
41.412389,-74.419731,Citgo,5084 Route 17m,New Hampton,NY,10958
41.153853,-74.18952999999999,B & J Service Station,Interstate 87 - Milepost 33 Northbound,Sloatsburg,NY,10974
41.24355200000001,-74.17654099999999,Valero,1011 Route 17 S,Southfields,NY,10975
41.12815100000001,-74.040756,Sunoco,298 N Main St,Spring Valley,NY,10977
41.100992000000005,-73.951992,NYS Thruway Authority,Route 303,West Nyack,NY,10994
40.752747,-73.702507,Norman's Auto Service,77-40 Hewlett St,New Hyde Park,NY,11040
40.653093999999996,-73.88626300000001,Citgo,1121 Pennsylvania Ave,Brooklyn,NY,11207
40.662349000000006,-73.79287199999999,Sunoco,14701 147th St,Jamaica,NY,11430
40.655848999999996,-73.60567099999999,Citgo,820 Sunrise Hwy,Baldwin,NY,11510
40.658176000000005,-73.65645699999999,Shamrock,17 Merrick Rd,Baldwin,NY,11510
40.628364000000005,-73.736775,Lawrence Gasoline Corp,466 Rockaway Turnpike,Cedarhurst,NY,11516
40.71275000000001,-73.60823799999999,"L G & R Service Stations, Inc.",699 Fulton Ave,Hempstead,NY,11550
40.718279,-73.62049199999998,Valero,404 Clinton St,Hempstead,NY,11550
40.687560999999995,-73.65934799999998,Exxon,820 Hempstead Ave,West Hempstead,NY,11552
40.687988,-73.596011,UST Gasoline,940 Nassau Rd,Uniondale,NY,11553
40.657742999999996,-73.64916000000001,Citgo,171 Sunrise Hwy,Rockville Center,NY,11570
40.656482,-73.65697799999998,BP,2 Sunrise Hwy,Rockville Center,NY,11570
40.67022,-73.717375,USA Valley Stream,562 W Merrick Rd,Valley Stream,NY,11580
40.750130000000006,-73.577705,Valero,549 Old Country Rd,Westbury,NY,11590
40.756218000000004,-73.64466200000001,Citgo,137 Hillside Park,Williston Park,NY,11596
40.69835100000001,-73.40963900000001,Valero,3359 Great Neck Rd,Amityville,NY,11701
40.72512000000001,-73.359463,Sunoco,1041 Little East Neck Rd,West Babylon,NY,11704
40.72837400000001,-73.39639,Valero,1200 Wellwood Ave,Babylon,NY,11704
40.756401,-73.245367,OK Petroleum Bay Shore,1550 Brentwood Rd,Bay Shore,NY,11706
40.750531,-73.262783,365 Christian Realty Corp.,365 Spur Drive N,Bayshore,NY,11706
40.713993,-73.34354400000001,Citgo,675 Sunrise Hwy,West Babylon,NY,11706
40.877185999999995,-73.325159,US Petroleum,236 Larkfield Rd,East Northport,NY,11710
40.706009,-73.53624500000001,Valero,2670 N Jerusalem,North Bellmore,NY,11710
40.757151,-73.20972300000001,BP,660 Islip Ave Poplar Spur Dr,Brentwood,NY,11717
40.78250500000001,-73.21843,3 Star Gas and Food Mart,1560 Islip Ave,Brentwood,NY,11717
40.85980699999999,-73.07276499999999,TPTDM,1734 Middle Country Rd,Centereach,NY,11720
40.799896000000004,-73.17360699999999,Gulf Oil,1979 Veterans Hwy,Islandia,NY,11722
40.845282999999995,-73.273046,Bob's Tire & Auto Service,2039 Jericho Turnpike,Commack,NY,11725
40.769006000000005,-72.971362,Valero,1164 Montauk Hwy,East Patchogue,NY,11727
40.874395,-73.33874699999998,USA Gas,200 Elwood Rd,East Northport,NY,11731
40.708697,-73.428992,Ismail Petroleum Corp.,1100 N Broadway,Farmingdale,NY,11735
40.720665000000004,-73.44056000000002,US Petroleum,758 Main St,Farmingdale,NY,11735
40.721134000000006,-73.457872,Valero,229 Merritts Rd,Farmingdale,NY,11735
40.829704,-73.01426700000002,Citgo,1099 Horseblock Rd,Farmingville,NY,11738
40.76835700000001,-73.07122300000002,T and C Service Center,5665 Sunrise Hwy,Holbrook,NY,11741
40.837892999999994,-73.333228,Citgo,1905 Jericho Turnpike,Huntington,NY,11743
40.791288,-73.41687,Citgo,1153 Walt Whitman Rd,Melville,NY,11747
40.882343999999996,-73.22083799999999,Eddies Service Center,753 E Main,Kings Park,NY,11754
40.715272000000006,-73.393475,Citgo,1020 Route 109,Lindenhurst,NY,11757
40.692856000000006,-73.464702,McBirney's Auto Service,720 Broadway,Massapequa,NY,11758
40.691354000000004,-73.477534,Conoco,1000 Hicksville Rd,Massapequa,NY,11758
40.938567,-73.009765,Valero,767 Route 25 A,Mt Sinai,NY,11766
40.742236000000005,-73.13062900000001,Citgo,1249 Montauk Hwy,Oakdale,NY,11769
40.756488999999995,-72.96345500000001,Husco,700 S Country Rd,East Patchouge,NY,11772
40.785546000000004,-72.97828799999999,Valero,151 Hospital Rd,East Patchogue,NY,11772
40.766253000000006,-73.007198,BP,255 E Main St,Patchogue,NY,11772
40.932083,-73.052668,Mobil,315 Patchogue Rd,Port Jefferson Station,NY,11776
40.933202,-73.05396300000001,Port Jeff Quik Stop,200 Route 112,Port Jefferson,NY,11776
40.94698399999999,-72.92966600000001,Citgo,557 Rte 25 A,Rocky Point,NY,11778
40.887947999999994,-73.157111,North Country Gas,545 Route 25A,St. James,NY,11780
40.673965,-73.49105900000002,"Hill Enterprise, Inc.",3818 Sunrise Hwy,Seaford,NY,11783
40.862176000000005,-73.057238,Valero,1274 Middle Country Rd,Selden,NY,11784
