date,Month,Cellulosic (D3),Biomass-based Diesel (D4),Advanced (D5),Renewable Fuel (D6)
2011-01-01,2011-01-01,NA,0.733,0.733,0.01888888888888889
2011-02-01,2011-02-01,NA,0.9900000000000001,0.6040000000000001,0.0175
2011-03-01,2011-03-01,NA,0.9387500000000001,0.5175000000000001,0.0375
2011-04-01,2011-04-01,NA,1.17625,0.51,0.02375
2011-05-01,2011-05-01,NA,1.229,0.65375,0.025
2011-06-01,2011-06-01,NA,1.2575,0.6533333333333333,0.02125
2011-07-01,2011-07-01,NA,1.3016666666666667,0.7183333333333334,0.02125
2011-08-01,2011-08-01,NA,1.4266666666666667,0.8933333333333333,0.023
2011-09-01,2011-09-01,NA,1.6300000000000001,0.7424999999999999,0.021249999999999998
2011-10-01,2011-10-01,NA,1.4066666666666667,0.9,0.01888888888888889
2011-11-01,2011-11-01,NA,1.38125,0.755,0.012
2011-12-01,2011-12-01,NA,1.2155555555555555,0.89,0.017142857142857144
2012-01-01,2012-01-01,NA,1.2664285714285715,0.88625,0.016666666666666666
2012-02-01,2012-02-01,NA,1.3844444444444444,0.7171428571428571,0.13727272727272727
2012-03-01,2012-03-01,NA,1.35125,0.7357142857142857,0.015714285714285715
2012-04-01,2012-04-01,NA,1.33,0.705,0.0175
2012-05-01,2012-05-01,NA,1.37,0.7742857142857142,0.02375
2012-06-01,2012-06-01,NA,1.18375,0.775,0.018000000000000002
2012-07-01,2012-07-01,NA,1.2,0.7516666666666667,0.031
2012-08-01,2012-08-01,NA,1.07125,0.6125,0.052500000000000005
2012-09-01,2012-09-01,NA,1.0237500000000002,0.5625,0.0625
2012-10-01,2012-10-01,NA,0.755,0.5619999999999999,0.10400000000000001
2012-11-01,2012-11-01,NA,0.54875,0.49428571428571433,0.1325
2012-12-01,2012-12-01,NA,0.575,0.51,0.035
2013-01-01,2013-01-01,NA,0.5358333333333334,0.399,0.07166666666666667
2013-02-01,2013-02-01,NA,0.49833333333333335,0.47900000000000004,0.14
2013-03-01,2013-03-01,NA,0.66125,0.585,0.4425
2013-04-01,2013-04-01,NA,0.699,0.62,0.532
2013-05-01,2013-05-01,NA,0.8125,0.6933333333333334,0.63125
2013-06-01,2013-06-01,NA,0.84875,0.8114285714285715,0.60625
2013-07-01,2013-07-01,NA,0.971,0.876,0.8130000000000001
2013-08-01,2013-08-01,1.2,0.9328571428571429,0.9225000000000001,0.9712500000000001
2013-09-01,2013-09-01,NA,0.809,0.88375,0.755
2013-10-01,2013-10-01,NA,0.7666666666666667,0.71,0.61625
2013-11-01,2013-11-01,NA,0.5137499999999999,0.5033333333333333,0.54
2013-12-01,2013-12-01,NA,0.5136363636363637,0.5422222222222223,0.4925
2014-01-01,2014-01-01,NA,0.48545454545454547,0.3514285714285714,0.31083333333333335
2014-02-01,2014-02-01,NA,0.495,0.5885714285714286,0.435
2014-03-01,2014-03-01,NA,0.5414285714285715,0.555,0.4346153846153846
2014-04-01,2014-04-01,0.7,0.5233333333333333,0.4716666666666667,0.46181818181818185
2014-05-01,2014-05-01,NA,0.5345454545454545,0.47333333333333333,0.39666666666666667
2014-06-01,2014-06-01,NA,0.5385714285714286,0.505,0.47454545454545455
2014-07-01,2014-07-01,NA,0.609,0.448,0.4911111111111111
2014-08-01,2014-08-01,0.6633333333333333,0.532,0.48000000000000004,0.45111111111111113
2014-09-01,2014-09-01,0.91,0.5345454545454545,0.514,0.48000000000000004
2014-10-01,2014-10-01,0.7366666666666667,0.617,0.5055555555555555,0.458
2014-11-01,2014-11-01,0.8200000000000001,0.5066666666666667,0.466,0.40555555555555556
2014-12-01,2014-12-01,0.7466666666666667,0.5455,0.5675,0.47750000000000004
2015-01-01,2015-01-01,0.635,0.726875,0.58875,0.6441666666666667
2015-02-01,2015-02-01,0.775,0.7525,0.6233333333333333,0.6583333333333333
2015-03-01,2015-03-01,0.7322222222222222,0.7428571428571429,0.7925,0.6806666666666666
2015-04-01,2015-04-01,0.804,0.7726315789473684,0.775,0.6738461538461538
2015-05-01,2015-05-01,0.986,0.81,0.7871428571428571,0.711
2015-06-01,2015-06-01,1.01125,0.800909090909091,0.6975,0.5761111111111111
2015-07-01,2015-07-01,1.0044444444444445,0.7494117647058823,0.6475,0.5192857142857142
2015-08-01,2015-08-01,0.9333333333333333,0.7021052631578948,0.525,0.4935294117647059
2015-09-01,2015-09-01,0.89,0.611764705882353,0.565,0.4715384615384615
2015-10-01,2015-10-01,0.8155555555555556,0.6272222222222222,0.5175000000000001,0.4707692307692308
2015-11-01,2015-11-01,0.9470000000000001,0.5935294117647059,0.529,0.5041176470588236
2015-12-01,2015-12-01,0.994,0.7111111111111111,0.6444444444444444,0.5775
2016-01-01,2016-01-01,1.0781818181818181,0.7133333333333333,0.645,0.5825
2016-02-01,2016-02-01,1.4325,0.7326666666666667,0.6661538461538461,0.6676190476190476
2016-03-01,2016-03-01,1.3908333333333334,0.7566666666666667,0.762,0.6342105263157894
2016-04-01,2016-04-01,1.5958333333333334,0.7863636363636364,0.7485714285714286,0.666875
2016-05-01,2016-05-01,1.5073333333333334,0.8088461538461539,0.75,0.7135
2016-06-01,2016-06-01,1.37,0.8171428571428572,0.7987500000000001,0.695
2016-07-01,2016-07-01,1.483125,0.8970833333333333,0.9400000000000001,0.8242105263157895
