Week of,Week of (label),Cellulosic (D3),Biomass-based Diesel (D4),Advanced (D5),Renewable Fuel (D6)
2011-01-03,2011-01-03,NA,0.615,0.69,0.02
2011-01-10,2011-01-10,NA,0.745,0.74,0.02
2011-01-17,2011-01-17,NA,0.775,0.74,0.02
2011-01-24,2011-01-24,NA,0.755,0.78,0.015
2011-01-31,2011-01-31,NA,0.775,0.715,0.02
2011-02-07,2011-02-07,NA,0.92,0.64,0.02
2011-02-14,2011-02-14,NA,0.96,0.6950000000000001,0.02
2011-02-21,2011-02-21,NA,1.125,0.45,0.015
2011-02-28,2011-02-28,NA,0.9550000000000001,0.54,0.015
2011-03-07,2011-03-07,NA,0.9850000000000001,0.47000000000000003,0.025
2011-03-14,2011-03-14,NA,1.02,0.53,0.02
2011-03-21,2011-03-21,NA,0.9500000000000001,0.51,0.08
2011-03-28,2011-03-28,NA,0.8,0.56,0.025
2011-04-04,2011-04-04,NA,1.185,0.515,0.025
2011-04-11,2011-04-11,NA,1.165,0.53,0.025
2011-04-18,2011-04-18,NA,1.275,0.48000000000000004,0.02
2011-04-25,2011-04-25,NA,1.08,0.51,0.025
2011-05-02,2011-05-02,NA,1.1800000000000002,0.64,0.02
2011-05-09,2011-05-09,NA,1.26,0.755,0.02
2011-05-16,2011-05-16,NA,1.2650000000000001,0.7799999999999999,0.015
2011-05-23,2011-05-23,NA,1.205,0.645,0.05
2011-05-30,2011-05-30,NA,1.235,0.505,0.02
2011-06-06,2011-06-06,NA,1.23,0.53,0.02
2011-06-13,2011-06-13,NA,1.2750000000000001,0.5900000000000001,0.02
2011-06-20,2011-06-20,NA,1.27,0.7899999999999999,0.025
2011-06-27,2011-06-27,NA,1.2550000000000001,0.71,0.02
2011-07-04,2011-07-04,NA,1.3,0.54,0.02
2011-07-11,2011-07-11,NA,1.28,0.6599999999999999,0.02
2011-07-18,2011-07-18,NA,1.29,0.8250000000000001,0.025
2011-07-25,2011-07-25,NA,1.3250000000000002,0.73,0.02
2011-08-01,2011-08-01,NA,1.34,0.75,0.02
2011-08-08,2011-08-08,NA,1.37,0.8500000000000001,0.03
2011-08-15,2011-08-15,NA,1.42,1.03,0.025
2011-08-22,2011-08-22,NA,1.51,1.1400000000000001,0.02
2011-08-29,2011-08-29,NA,1.4649999999999999,0.8400000000000001,0.02
2011-09-05,2011-09-05,NA,1.59,0.69,0.02
2011-09-12,2011-09-12,NA,1.725,0.64,0.02
2011-09-19,2011-09-19,NA,1.5,0.9500000000000001,0.025
2011-09-26,2011-09-26,NA,1.62,0.69,0.02
2011-10-03,2011-10-03,NA,1.53,0.97,0.02
2011-10-10,2011-10-10,NA,1.6300000000000001,0.72,0.02
2011-10-17,2011-10-17,NA,1.37,1.11,0.02
2011-10-24,2011-10-24,NA,1.295,0.9500000000000001,0.02
2011-10-31,2011-10-31,NA,1.27,0.75,0.015
2011-11-07,2011-11-07,NA,1.2650000000000001,0.75,0.02
2011-11-14,2011-11-14,NA,1.395,0.7899999999999999,0.01
2011-11-21,2011-11-21,NA,1.44,0.65,0.01
2011-11-28,2011-11-28,NA,1.425,0.8300000000000001,0.01
2011-12-05,2011-12-05,NA,1.37,0.91,0.01
2011-12-12,2011-12-12,NA,1.135,0.96,0.02
2011-12-19,2011-12-19,NA,1.075,0.89,0.03
2011-12-26,2011-12-26,NA,1.26,0.845,0.015
2012-01-02,2012-01-02,NA,1.29,0.64,0.01
2012-01-09,2012-01-09,NA,1.3366666666666667,1.0250000000000001,0.02
2012-01-16,2012-01-16,NA,1.4100000000000001,0.81,0.016666666666666666
2012-01-23,2012-01-23,NA,0.9733333333333334,0.88,0.02
2012-01-30,2012-01-30,NA,1.33,0.915,0.015
2012-02-06,2012-02-06,NA,1.325,0.72,0.015
2012-02-13,2012-02-13,NA,1.4233333333333333,0.71,0.4533333333333333
2012-02-20,2012-02-20,NA,1.375,0.71,0.02
2012-02-27,2012-02-27,NA,1.395,0.725,0.02
