Month,2019,2020,2021,2022,2023,2024,2025,2026
Jan,843769,970744,902054,1087284,766635,918886,801898,1010364
Feb,683151,828800,771323,909976,722185,962864,817475,919873
Mar,950512,926169,883803,889712,942005,1001884,1032478,1028797
Apr,909137,755777,852040,804301,755820,980275,886948,1020750
May,1001339,621451,1049846,957087,965071,1003579,912445,1081691
Jun,956580,837958,938280,1059947,943832,945921,900394,NA
Jul,858971,1078205,1062136,1011937,984961,1089799,1063051,NA
Aug,1150291,1027905,1221666,952462,944940,1096008,1181133,NA
Sep,1005052,1122347,902652,905784,1027798,1043089,1006667,NA
Oct,767579,977543,1064687,787888,890178,1074876,1100898,NA
Nov,911851,912934,1011417,728053,822935,969234,948473,NA
Dec,758526,863187,914515,845152,992915,1022306,890233,NA
