Partner,Region,Lon,Lat,2025,2024,2023,2022,2021
Canada,North America,-110.42654702241967,56.8257568359375,792263631.4691321,697627417.1178681,623595345.7217361,501588512.96036804,376037110.91399604
European Union-27,Europe & Central Asia,9.9019,49.8431,398563677.36568004,193572327.55178002,128009411.28996001,125744919.924112,83003769.64372
India,South Asia,80.23129405113531,21.78393554687503,197809076.612776,189627204.56588402,83784298.04670401,75779082.571308,143544782.78984
United Kingdom,Europe & Central Asia,-1.9576480718537153,54.350366210937494,177383553.291272,242399684.76246002,160068297.052536,66807221.329596005,41457597.442748
Colombia,Latin America & Caribbean,-72.5870088744902,4.1087402343749915,124760805.520124,133758619.54746,73594669.13547601,10302946.283144,36469884.523976006
Philippines,East Asia & Pacific,125.23455314734278,7.6888427734375,101240445.666544,66683612.60907601,29901602.791144002,40053760.753376,28043957.439056
South Korea,East Asia & Pacific,127.99554207074723,36.4501953125,89091856.950304,82113828.33098,99416255.056536,155033663.48815602,150067198.980032
Mexico,Latin America & Caribbean,-102.24213445994384,23.636132812499994,70884120.705908,79961307.852364,52816201.719264,59613279.91540401,49001493.581296004
Peru,Latin America & Caribbean,-75.7954684671538,-9.211181640625007,60590393.761392005,53413795.239,47469897.765112005,39869437.117924005,43947883.485468
Brazil,Latin America & Caribbean,-49.72302196623852,-14.22392578125001,49588521.54189201,27647436.059572,29780.373732000004,52898554.962716006,69504986.211912
Jamaica,Latin America & Caribbean,-77.15643205518711,18.09970703125,38609893.5525,21434574.241432,25799080.315864,24224393.819728002,16981858.758652
Nigeria,Sub-Saharan Africa,7.903491376376457,9.072607421874991,36894126.263936006,24297964.136696003,8972912.382100001,27772888.172308,51345998.155020006
Japan,East Asia & Pacific,143.330634143648,43.487695312499994,9618880.28596,1818795.1610800002,108527.14104,1109199.317644,234003.82177200002
Egypt,Middle East & North Africa,29.455258701539837,26.8239501953125,8554193.950316,22463.601848000002,1735137.436292,6638440.004248001,44447.467344000004
Switzerland,Europe & Central Asia,8.423423056845918,46.793847656249994,5871329.425488001,15698714.595092,875232.7441240001,2243375.0412000003,2793701.057492
Ghana,Sub-Saharan Africa,-1.068491371376021,7.977075195312494,4074058.2064520004,2894446.7481,0,0,0
Singapore,East Asia & Pacific,103.8230403118181,1.3483398437499972,2476663.221024,44803490.891712,9959724.246380001,43641567.333792,4065867.8177640005
Vietnam,East Asia & Pacific,107.8514538840466,15.970361328125001,2329557.986136,9440317.977656001,0,2380381.508872,6325.070196000001
Turkey,Europe & Central Asia,35.4989260199868,38.947680664062496,1343326.50774,1342516.8205600001,0,1013023.8026360001,7006858.766372001
Israel,Middle East & North Africa,34.669960455849846,31.451049804687496,1107232.292932,435270.656788,427174.84167600004,309279.633172,583180.82376
Dominican Republic,Latin America & Caribbean,-70.12398216909112,18.76806640625,426914.632256,415216.83192400006,373696.91868400003,601863.5959440001,500693.64510400005
Taiwan,East Asia & Pacific,120.81955374550091,23.589770507812496,334164.899744,448684.782604,220775.40887200003,53172.275988,26132.950928000002
Costa Rica,Latin America & Caribbean,-83.65524454909627,9.633374023437497,203306.50702800002,165406.80687600002,81326.67106000001,171175.26666800003,134921.093904
Saudi Arabia,Middle East & North Africa,44.6733995625442,24.222705078124996,132757.789396,6760230.164720001,12600067.381916001,18419248.462088,20203172.654996
China,East Asia & Pacific,98.58217414150822,36.898583984374994,113988.36879600001,173560.73982800002,196485.321816,663466.65714,100342240.52530001
Iraq,Middle East & North Africa,42.486003277398055,33.2020263671875,94514.929816,0,7291.1472,0,0
United Arab Emirates,Middle East & North Africa,55.12542822635824,24.3441162109375,79591.06102000001,6581751.598940001,22790316.833172,15188028.379916001,41778.009284
Thailand,East Asia & Pacific,101.68016462951502,13.022900390624997,71398.823128,12100.134288000001,15437.154992000002,11743.502088000001,4901.447288
Chile,Latin America & Caribbean,-71.50230520323588,-35.684423828125006,60579.658868000006,46302.218956000004,85389.372248,7302793.486792001,229849.188728
Panama,Latin America & Caribbean,-81.48037143817442,8.411132812499993,57319.24804400001,51926.176664000006,120.19826,8949.354844000001,16393.721804
Cote d'Ivoire,Sub-Saharan Africa,-5.695146864551597,7.5317138671874915,41205.812732000006,0,2707.234656,0,0
Malaysia,East Asia & Pacific,102.10045910346801,4.012597656249994,35757.00106,2526056.25238,29701.650476000003,20416.533020000003,1457.701096
Kuwait,Middle East & North Africa,47.40448793525239,29.311474609374997,32641.884836,7480.030180000001,24778.276912,18171.335192000002,56586.963260000004
Pakistan,South Asia,70.09930825074686,30.414697265625023,30144.931092000003,0,1585.0320000000002,11095.224,2060.5416
