Month,2019,2020,2021,2022,2023,2024,2025,2026
Jan,136177041.031816,145221759.85444,162429435.74458402,107688886.035748,117022266.131116,149882855.53168002,208620946.555512,212180044.24382803
Feb,95757600.18744001,163499111.23262,94198034.896584,143431360.013296,107017799.865612,137361680.740016,144642127.653156,210132424.35303602
Mar,160676306.34588802,164219178.589964,143051077.55082402,113788409.87655601,118092844.030704,166988330.143496,198585382.754684,217910085.23769602
Apr,143787179.88439602,91381115.233668,105225125.23937601,178352598.796036,119242036.61160001,187505408.34755602,169357005.13436002,171945632.90248802
May,97697923.186196,70713232.59420401,79560762.869148,141313190.34818402,112203135.895004,170390784.93103603,181612391.19338402,NA
Jun,119616549.29342,81792808.365784,82674946.301816,103662307.72702801,111302526.78856,133952289.3241,172978591.91676,NA
Jul,119926595.553736,73143385.692908,51954762.18777601,109426943.36515601,112305119.231432,128618441.87226401,169535733.60685202,NA
Aug,124835905.92131601,96292475.31179601,81052204.541332,79645889.654428,101467166.00210401,151109006.435444,200791249.334464,NA
Sep,95902862.822628,82117673.090268,77825403.792548,89465571.040168,121594722.06382,163433941.32108,153895127.077396,NA
Oct,105829254.374392,126895195.610208,103414290.10900001,87016872.010376,116446677.34646401,163531617.59722,177095694.83723602,NA
Nov,101892374.61158401,106766215.925584,134386853.056616,80017276.653144,115083459.215468,191141836.577088,213168212.8955,NA
Dec,145454251.555684,114574141.14708,121280087.135864,70543479.893756,155380648.65506002,199754651.08672002,218430507.51193202,NA
