Month,2019,2020,2021,2022,2023,2024,2025,2026
Jan,32035828.3,11505126.48,25055025.08,27376423.85,5676947.441,29931650.77,28428181.35,6729613.158
Feb,35260298,76676541.16,5715672.943,15704073.85,3934549.766,18649271.48,18019545.66,21332563.7
Mar,51603764.78,46605567.14,17624416.2,6034590.892,5816950.676,24702052.19,27012514.77,
Apr,45838531.05,21143741.47,12646291.93,6679985.278,21035946.09,21678768.5,21595216.71,
May,19969354.81,22853376.54,7468913.822,39916789.16,18773802.69,23258787.04,22702797.97,
Jun,68055478.67,59085794.74,40703809.32,16685433.21,22304349.98,22210289.43,5573623.432,
Jul,65065876.38,36952763.47,35934430.07,17771965.25,25918021.65,21804674.99,21544177.09,
Aug,46355209.22,108068406.4,25440033.58,60180101.36,51385637.96,32436493.22,19646132.97,
Sep,135104670.2,49539438.12,40477604.12,6583639.636,33773967.52,7679709.87,18916677.47,
Oct,64283287.44,78154856.13,27510768,49325162.4,10856313.18,7534861.72,6135198.156,
Nov,71775341.14,73770110.25,15996501.69,64950884.42,12393451.86,36183813.72,5237268.018,
Dec,44126940.06,61201250.83,15059095.27,12185722.85,32376220.79,8030560.401,5450976.297,
